Aclacinomycin A	Aclacinomycin A	Aclacinomycin A	Blebbistatin	Camptothecin	Cycloheximide	Doxorubicin hydrochloride	Etoposide	Etoposide	Etoposide	Etoposide	Etoposide	Etoposide	Etoposide	Etoposide	Etoposide	Etoposide	Etoposide	Etoposide	Etoposide	Etoposide	Geldanamycin	Geldanamycin	Geldanamycin	Geldanamycin	Geldanamycin	Geldanamycin	Geldanamycin	Geldanamycin	Geldanamycin	Geldanamycin	Geldanamycin	Geldanamycin	Geldanamycin	Geldanamycin	H-7, Dihydrochloride	Methotrexate	Mitomycin C	Monastrol	Rapamycin	Rapamycin	Rapamycin	Rapamycin	Rapamycin	Rapamycin	Rapamycin	Rapamycin	Rapamycin	Rapamycin	Rapamycin	Rapamycin	Rapamycin	Rapamycin	Rapamycin	Rapamycin	Rapamycin	Rapamycin	Trichostatin A	Vincristine
Aclacinomycin A	100	97	97	48	45	30	87	70	70	70	70	70	70	70	70	70	70	70	70	70	70	44	44	44	44	44	44	44	44	44	44	44	44	44	44	29	36	34	55	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	41	53
Aclacinomycin A	97	100	100	47	44	32	88	69	69	69	69	69	69	69	69	69	69	69	69	69	69	45	45	45	45	45	45	45	45	45	45	45	45	45	45	31	38	36	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	42	54
Aclacinomycin A	97	100	100	47	44	32	88	69	69	69	69	69	69	69	69	69	69	69	69	69	69	45	45	45	45	45	45	45	45	45	45	45	45	45	45	31	38	36	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	42	54
Blebbistatin	48	47	47	100	59	29	45	37	37	37	37	37	37	37	37	37	37	37	37	37	37	42	42	42	42	42	42	42	42	42	42	42	42	42	42	43	55	39	54	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	65	52
Camptothecin	45	44	44	59	100	27	42	40	40	40	40	40	40	40	40	40	40	40	40	40	40	42	42	42	42	42	42	42	42	42	42	42	42	42	42	54	59	36	49	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	51	65
Cycloheximide	30	32	32	29	27	100	31	26	26	26	26	26	26	26	26	26	26	26	26	26	26	49	49	49	49	49	49	49	49	49	49	49	49	49	49	19	26	44	32	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	34	27
Doxorubicin hydrochloride	87	88	88	45	42	31	100	71	71	71	71	71	71	71	71	71	71	71	71	71	71	43	43	43	43	43	43	43	43	43	43	43	43	43	43	30	34	32	55	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	40	52
Etoposide	70	69	69	37	40	26	71	100	100	100	100	100	100	100	100	100	100	100	100	100	100	38	38	38	38	38	38	38	38	38	38	38	38	38	38	26	28	28	49	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	33	50
Etoposide	70	69	69	37	40	26	71	100	100	100	100	100	100	100	100	100	100	100	100	100	100	38	38	38	38	38	38	38	38	38	38	38	38	38	38	26	28	28	49	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	33	50
Etoposide	70	69	69	37	40	26	71	100	100	100	100	100	100	100	100	100	100	100	100	100	100	38	38	38	38	38	38	38	38	38	38	38	38	38	38	26	28	28	49	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	33	50
